Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-10-06 00:00:00-04:00,5.718218834323451,5.779123044883996,5.596411058565501,5.6370134353637695,14261000,0.0,0.0
2010-10-07 00:00:00-04:00,5.718217531132324,5.779121727812704,5.589642506756074,5.738518714904785,11069900,0.0,0.0
2010-10-08 00:00:00-04:00,5.731754175745777,5.772356558108913,5.650548765656272,5.684383869171143,8889100,0.0,0.0
2010-10-11 00:00:00-04:00,5.711450254753839,5.752053267661757,5.650546703436454,5.738518714904785,6761800,0.0,0.0
2010-10-12 00:00:00-04:00,5.71821847237858,5.785889956576497,5.670848820657898,5.752054214477539,13446100,0.0,0.0
2010-10-13 00:00:00-04:00,5.731751776725647,5.7588202354260005,5.589642207208054,5.609943389892578,10350700,0.0,0.0
2010-10-14 00:00:00-04:00,5.596411898688976,5.596411898688976,5.400165004387153,5.535507678985596,13226700,0.0,0.0
2010-10-15 00:00:00-04:00,5.549040193062665,5.569341379393205,5.366327902680107,5.433999061584473,9722200,0.0,0.0
2010-10-18 00:00:00-04:00,5.420466937090157,5.691151661826387,5.393398141934889,5.616713523864746,12405400,0.0,0.0
2010-10-19 00:00:00-04:00,5.521973547525421,5.724987413759239,5.521973547525421,5.616713523864746,15546000,0.0,0.0
2010-10-20 00:00:00-04:00,5.569342014929606,5.576109292933048,5.400164259704015,5.467835426330566,18559200,0.0,0.0
2010-10-21 00:00:00-04:00,5.515205475358329,5.650548463636705,5.481370373651932,5.6437811851501465,24579900,0.0,0.0
2010-10-22 00:00:00-04:00,5.894165528060205,5.907699441615372,5.535508106443877,5.616713523864746,32991900,0.0,0.0
2010-10-25 00:00:00-04:00,5.684383159535531,5.697917715542417,5.433999681676503,5.467835426330566,13397400,0.0,0.0
2010-10-26 00:00:00-04:00,5.433999528694217,5.51520492635992,5.413698340618575,5.447534084320068,9368000,0.0,0.0
2010-10-27 00:00:00-04:00,5.406931960642184,5.562576149368961,5.386630769195471,5.535507678985596,9978400,0.0,0.0
2010-10-28 00:00:00-04:00,5.582877012952663,5.596411570031127,5.488137049493016,5.5558085441589355,6368100,0.0,0.0
2010-10-29 00:00:00-04:00,5.549040794372559,5.589643816796576,5.528739605842123,5.549040794372559,9139700,0.0,0.0
2010-11-01 00:00:00-04:00,5.5761098919506376,5.6099456402395305,5.447534822888709,5.569342613220215,11184200,0.0,0.0
2010-11-02 00:00:00-04:00,5.630245822123816,5.684382751539382,5.576108892708248,5.677616119384766,11050200,0.0,0.0
2010-11-03 00:00:00-04:00,5.691150007772033,5.765588769462363,5.637013078558939,5.752054214477539,12385800,0.0,0.0
2010-11-04 00:00:00-04:00,5.779123603943169,5.880630201121499,5.697918197127863,5.826493263244629,21008800,0.0,0.0
2010-11-05 00:00:00-04:00,5.779123836957179,5.928000744802886,5.616713016778172,5.684383869171143,34332100,0.0,0.0
2010-11-08 00:00:00-05:00,5.677616457525182,5.718218834323451,5.596411058565501,5.6370134353637695,12738100,0.0,0.0
2010-11-09 00:00:00-05:00,5.6776166454133925,5.704685112629057,5.54904094211661,5.576109409332275,14752300,0.0,0.0
2010-11-10 00:00:00-05:00,5.5896426640699195,5.697916507720947,5.488135451624821,5.697916507720947,18397400,0.0,0.0
2010-11-11 00:00:00-05:00,5.637013125912119,5.684382778030724,5.562575008959581,5.596410751342773,9895400,0.0,0.0
2010-11-12 00:00:00-05:00,5.549041975289273,5.589645006354206,5.406932334606936,5.427234172821045,13479100,0.0,0.0
2010-11-15 00:00:00-05:00,5.467836529273156,5.562576504342342,5.467836529273156,5.488137722015381,9071600,0.0,0.0
2010-11-16 00:00:00-05:00,5.440766826330641,5.467835292317833,5.2512875644202985,5.4001641273498535,17368700,0.0,0.0
2010-11-17 00:00:00-05:00,5.352793577680847,5.352793577680847,5.129478595844677,5.197149753570557,23453600,0.0,0.0
2010-11-18 00:00:00-05:00,5.305424054928551,5.352793705123708,5.2377525729099705,5.312191009521484,13428900,0.0,0.0
2010-11-19 00:00:00-05:00,5.1091785099975615,5.251288133162319,5.061808528048775,5.183616638183594,22410300,0.0,0.0
2010-11-22 00:00:00-05:00,5.163316675886822,5.258056339635828,5.122713962851535,5.237754821777344,9131500,0.0,0.0
2010-11-23 00:00:00-05:00,5.163314353248568,5.230985511199876,5.088875918161363,5.122711658477783,9628000,0.0,0.0
2010-11-24 00:00:00-05:00,5.1565467506275695,5.203916719544225,5.109177104392429,5.149779796600342,6019800,0.0,0.0
2010-11-26 00:00:00-05:00,5.088797274076573,5.170109533984915,5.061692864334258,5.068469047546387,2272000,0.01,0.0
2010-11-29 00:00:00-05:00,5.05491624555772,5.2243169231619175,5.048140063362601,5.217540740966797,9670500,0.0,0.0
2010-11-30 00:00:00-05:00,5.149780789765812,5.17688487367725,5.095572621942934,5.102348804473877,9702600,0.0,0.0
2010-12-01 00:00:00-05:00,5.197212955683767,5.264973163604736,5.1497806485860105,5.264973163604736,11415600,0.0,0.0
2010-12-02 00:00:00-05:00,5.292078423960607,5.529239365991945,5.264974334763096,5.502135276794434,17611600,0.0,0.0
2010-12-03 00:00:00-05:00,5.481805118162528,5.576669068253918,5.386940521858945,5.556341171264648,10930800,0.0,0.0
2010-12-06 00:00:00-05:00,5.529238048427246,5.583446213904979,5.454701982448439,5.542790412902832,10162200,0.0,0.0
2010-12-07 00:00:00-05:00,5.576669024173854,5.624101645056817,5.346284362515289,5.3869404792785645,17431300,0.0,0.0
2010-12-08 00:00:00-05:00,5.366613551994045,5.590222396142772,5.359837369756253,5.542790412902832,14518900,0.0,0.0
2010-12-09 00:00:00-05:00,5.603775126935741,5.691862916936104,5.522462227191431,5.671535015106201,12590800,0.0,0.0
2010-12-10 00:00:00-05:00,5.671535165101465,5.718967152696457,5.610550811786552,5.678311347961426,8741600,0.0,0.0
2010-12-13 00:00:00-05:00,5.678312683016996,5.691864405710763,5.508911948963551,5.6241044998168945,19094400,0.0,0.0
2010-12-14 00:00:00-05:00,5.596998756134858,5.698638908080507,5.481806239283215,5.529238224029541,12848200,0.0,0.0
2010-12-15 00:00:00-05:00,5.52246196779805,5.617326582235664,5.427597999572754,5.427597999572754,9089900,0.0,0.0
2010-12-16 00:00:00-05:00,5.461478376937675,5.596998795898789,5.420821928143176,5.48180627822876,11707400,0.0,0.0
2010-12-17 00:00:00-05:00,5.5834456128943755,5.746070091822428,5.569893896089822,5.705414295196533,17728500,0.0,0.0
2010-12-20 00:00:00-05:00,5.712190802969329,5.759622783812802,5.651206458334995,5.698638439178467,10943500,0.0,0.0
2010-12-21 00:00:00-05:00,5.698639026347298,5.7799512788337974,5.698639026347298,5.752847194671631,10465700,0.0,0.0
2010-12-22 00:00:00-05:00,5.773177525711412,5.922249711543603,5.766401341024711,5.854489803314209,17830100,0.0,0.0
2010-12-23 00:00:00-05:00,5.854488292309411,5.9154720001126115,5.773176035692772,5.779951572418213,9297100,0.0,0.0
2010-12-27 00:00:00-05:00,5.752849058055087,5.847713706456087,5.7054170569608615,5.786729335784912,7281200,0.0,0.0
2010-12-28 00:00:00-05:00,5.800279451194943,6.044216192865777,5.759623004476989,5.996784210205078,11135200,0.0,0.0
2010-12-29 00:00:00-05:00,6.0238882926129484,6.044216192865777,5.9764556637399515,5.996784210205078,5100600,0.0,0.0
2010-12-30 00:00:00-05:00,5.990008028050036,6.030663828555693,5.956127763487124,5.996784210205078,5769400,0.0,0.0
2010-12-31 00:00:00-05:00,5.9764556637399515,6.030663828555693,5.949351581332081,5.996784210205078,4061300,0.0,0.0
2011-01-03 00:00:00-05:00,6.071319998408777,6.193288686788315,6.023888017911076,6.13908052444458,12148200,0.0,0.0
2011-01-04 00:00:00-05:00,6.1323039200659055,6.193288260053686,5.996783523544296,6.071319580078125,13052600,0.0,0.0
2011-01-05 00:00:00-05:00,6.044216567051565,6.145856720820351,5.990008398879902,6.1119771003723145,12409000,0.0,0.0
2011-01-06 00:00:00-05:00,6.105199804782599,6.125527702587989,5.895142706752838,5.901918888092041,14609600,0.0,0.0
2011-01-07 00:00:00-05:00,5.935799622606371,5.996783967104945,5.739294871562229,5.915471076965332,14645600,0.0,0.0
2011-01-10 00:00:00-05:00,5.983233583758014,5.983233583758014,5.779952583548755,5.868041038513184,11052700,0.0,0.0
2011-01-11 00:00:00-05:00,5.915474293295996,5.962906946035982,5.8544905618519385,5.881594657897949,6021400,0.0,0.0
2011-01-12 00:00:00-05:00,5.956127171462693,5.996783614139497,5.868038750839813,5.942575454711914,16862100,0.0,0.0
2011-01-13 00:00:00-05:00,5.949351590914055,5.95612777308001,5.793503278370866,5.8070549964904785,10725600,0.0,0.0
2011-01-14 00:00:00-05:00,5.779950330216932,5.983231251176484,5.779950330216932,5.942575454711914,14009900,0.0,0.0
2011-01-18 00:00:00-05:00,5.962905831924691,6.037441920571717,5.9425779252414115,6.010337829589844,14014600,0.0,0.0
2011-01-19 00:00:00-05:00,5.956130078221487,5.9629062630099625,5.759625242843562,5.786729335784912,14449900,0.0,0.0
2011-01-20 00:00:00-05:00,5.766398329690084,5.779950045773956,5.630877937790358,5.691861629486084,14786800,0.0,0.0
2011-01-21 00:00:00-05:00,5.834159739391995,5.956128447337344,5.79350393421846,5.949352264404297,18509300,0.0,0.0
2011-01-24 00:00:00-05:00,5.956127587742598,5.9832316693507215,5.786726916138756,5.834158897399902,17598600,0.0,0.0
2011-01-25 00:00:00-05:00,5.9696804138276285,6.105200832360286,5.8612634327891735,6.037440299987793,31692400,0.0,0.0
2011-01-26 00:00:00-05:00,6.017111452862854,6.139080133474767,5.949350931142407,6.023887634277344,15303600,0.0,0.0
2011-01-27 00:00:00-05:00,6.023888405943292,6.145856455967204,5.9696802401077065,6.050992488861084,14723600,0.0,0.0
2011-01-28 00:00:00-05:00,6.057767789015542,6.139080680814553,5.956127643585205,5.956127643585205,12050700,0.0,0.0
2011-01-31 00:00:00-05:00,5.990006744825032,6.111975412637538,5.976454383418238,6.030662536621094,9324900,0.0,0.0
2011-02-01 00:00:00-05:00,6.098425057369791,6.281378119272823,6.064544788919706,6.274601936340332,11691100,0.0,0.0
2011-02-02 00:00:00-05:00,6.24072116186201,6.3559136775245,6.193289177605332,6.308481693267822,14173900,0.0,0.0
2011-02-03 00:00:00-05:00,6.247497562363351,6.416898250579834,6.2407213797437295,6.416898250579834,12202000,0.0,0.0
2011-02-04 00:00:00-05:00,6.403345108032227,6.565969593887941,6.328809046901423,6.403345108032227,11036400,0.0,0.0
2011-02-07 00:00:00-05:00,6.437225457768653,6.532090065572188,6.410121376426539,6.491433620452881,10689300,0.0,0.0
2011-02-08 00:00:00-05:00,6.518538732333795,6.620179538094681,6.457554378119739,6.579523086547852,11271600,0.0,0.0
2011-02-09 00:00:00-05:00,6.47110747371086,6.491435378670228,6.355914935253694,6.484659194946289,16123100,0.0,0.0
2011-02-10 00:00:00-05:00,6.389793307149221,6.423672923267228,6.294928701866936,6.3017048835754395,16178000,0.0,0.0
2011-02-11 00:00:00-05:00,6.274604384746603,6.532093620744506,6.240724103076132,6.4643330574035645,12921700,0.0,0.0
2011-02-14 00:00:00-05:00,6.471105547006423,6.525313708233119,6.410121204073325,6.504985809326172,7797900,0.0,0.0
2011-02-15 00:00:00-05:00,6.484657876743654,6.620178938823885,6.477882340609495,6.53886604309082,14452800,0.0,0.0
2011-02-16 00:00:00-05:00,6.525317102848637,6.57274910704412,6.450781003939651,6.471108913421631,10678500,0.0,0.0
2011-02-17 00:00:00-05:00,6.464328817234398,6.484656714417884,6.376240401156358,6.396568298339844,9128700,0.0,0.0
2011-02-18 00:00:00-05:00,6.396569514171101,6.565970197394208,6.376241613123778,6.457553863525391,21286000,0.0,0.0
2011-02-22 00:00:00-05:00,6.362688466563063,6.396568078634464,6.20006335604432,6.240719795227051,15346200,0.0,0.0
2011-02-23 00:00:00-05:00,6.220393976751956,6.335586505670503,6.139081717435169,6.227169513702393,17125600,0.0,0.0
2011-02-24 00:00:00-05:00,6.213617247141251,6.308481864440964,6.071320644297851,6.125528812408447,24449700,0.0,0.0
2011-02-25 00:00:00-05:00,6.227281777358224,6.362952270420158,6.200147678745837,6.301900386810303,9977400,0.01,0.0
2011-02-28 00:00:00-05:00,6.329033947672939,6.369735415597267,6.166229369831395,6.2001471519470215,11718600,0.0,0.0
2011-03-01 00:00:00-05:00,6.240850207144206,6.240850207144206,6.0373440885239145,6.071261882781982,11754600,0.0,0.0
2011-03-02 00:00:00-05:00,6.064474839485053,6.213712663500588,6.044124432959949,6.132310390472412,13236900,0.0,0.0
2011-03-03 00:00:00-05:00,6.32225139350174,6.396870656898007,6.267983191174275,6.335818767547607,17595100,0.0,0.0
2011-03-04 00:00:00-05:00,6.2951166563196805,6.322250754741957,6.145879438461125,6.28154993057251,18027900,0.0,0.0
2011-03-07 00:00:00-05:00,6.267980456446863,6.322248635097057,6.220495961859873,6.288331508636475,13006300,0.0,0.0
2011-03-08 00:00:00-05:00,6.308684624332099,6.396870614258409,6.274766836371518,6.3154683113098145,13051400,0.0,0.0
2011-03-09 00:00:00-05:00,6.3154681950838585,6.444355010648516,6.308684508230986,6.362952709197998,11637700,0.0,0.0
2011-03-10 00:00:00-05:00,6.295116565550718,6.295116565550718,6.078043781302464,6.105177879333496,18543400,0.0,0.0
2011-03-11 00:00:00-05:00,6.078043943209939,6.254415908573821,6.078043943209939,6.1594462394714355,15346000,0.0,0.0
2011-03-14 00:00:00-04:00,6.111961520928535,6.159446030404009,5.996641443407021,6.084827423095703,11644400,0.0,0.0
2011-03-15 00:00:00-04:00,5.874536858400798,6.0305583843228,5.847402764361472,5.9830732345581055,12656400,0.0,0.0
2011-03-16 00:00:00-04:00,5.9695078195289675,6.044126432761689,5.854187732851505,5.8677544593811035,14936500,0.0,0.0
2011-03-17 00:00:00-04:00,5.955939964969547,6.010208160560273,5.820269475992731,6.003425121307373,11210700,0.0,0.0
2011-03-18 00:00:00-04:00,6.098393547151157,6.396869240805851,6.010207576158991,6.050909042358398,39288800,0.0,0.0
2011-03-21 00:00:00-04:00,6.091610574779248,6.132312045743606,5.88132147442588,5.901671886444092,88248000,0.0,0.0
2011-03-22 00:00:00-04:00,5.976290378890815,5.976290378890815,5.840619257619986,5.894887447357178,26516600,0.0,0.0
2011-03-23 00:00:00-04:00,5.874539020896378,5.8948894371851726,5.75243522930747,5.827054500579834,17392500,0.0,0.0
2011-03-24 00:00:00-04:00,5.9016739600095525,5.9016739600095525,5.738869312806237,5.874539852142334,17017100,0.0,0.0
2011-03-25 00:00:00-04:00,5.894889225295409,5.942374390833185,5.813486916138139,5.915240287780762,14829100,0.0,0.0
2011-03-28 00:00:00-04:00,5.91523917779608,5.955940001273251,5.833836883913813,5.942373275756836,12613200,0.0,0.0
2011-03-29 00:00:00-04:00,5.915239102750186,5.955939925710991,5.881321318997571,5.928805828094482,11297100,0.0,0.0
2011-03-30 00:00:00-04:00,5.962722874394827,6.078042936734518,5.942372465431305,6.057692527770996,25105700,0.0,0.0
2011-03-31 00:00:00-04:00,5.996642903616532,6.057694800338795,5.983075527932439,6.023777008056641,15658400,0.0,0.0
2011-04-01 00:00:00-04:00,6.0373440885239145,6.139097471298118,6.0373440885239145,6.071261882781982,13351100,0.0,0.0
2011-04-04 00:00:00-04:00,6.105177232672368,6.17301279402876,6.010207576158991,6.050909042358398,12624700,0.0,0.0
2011-04-05 00:00:00-04:00,6.057692324769205,6.071259047980967,5.989856767926944,6.010207176208496,8452900,0.0,0.0
2011-04-06 00:00:00-04:00,6.057694243111311,6.105178759781534,5.97629193727892,6.091611385345459,11180900,0.0,0.0
2011-04-07 00:00:00-04:00,6.078042936734518,6.1323111252558045,6.023774748213233,6.057692527770996,12259200,0.0,0.0
2011-04-08 00:00:00-04:00,6.111963699206877,6.125530429494457,5.9762931616903066,6.016993999481201,10888000,0.0,0.0
2011-04-11 00:00:00-04:00,6.0102090419181335,6.064477245466937,5.962724525544934,5.989858627319336,11657500,0.0,0.0
2011-04-12 00:00:00-04:00,5.922022017196666,5.989857583272777,5.9084552921381865,5.949156761169434,13532800,0.0,0.0
2011-04-13 00:00:00-04:00,5.989857748945731,6.037342258355636,5.969507337331189,6.003425121307373,20871200,0.0,0.0
2011-04-14 00:00:00-04:00,5.976290782019402,5.996641192811616,5.915238902714866,5.93558931350708,9732700,0.0,0.0
2011-04-15 00:00:00-04:00,5.9898569197998945,6.0305583843228,5.928805046479452,5.9830732345581055,12947300,0.0,0.0
2011-04-18 00:00:00-04:00,5.833838188318788,5.935590916690832,5.671032917224221,5.827054500579834,24904800,0.0,0.0
2011-04-19 00:00:00-04:00,5.854186987332261,5.854186987332261,5.664248311610395,5.69138240814209,16652500,0.0,0.0
2011-04-20 00:00:00-04:00,5.77956854163665,5.8067026389102905,5.616763311066896,5.664248466491699,13788400,0.0,0.0
2011-04-21 00:00:00-04:00,5.7117329749885934,5.7117329749885934,5.609980271944418,5.664248466491699,14341700,0.0,0.0
2011-04-25 00:00:00-04:00,5.6778152812654445,5.732083476669126,5.6778152812654445,5.704949378967285,6540100,0.0,0.0
2011-04-26 00:00:00-04:00,5.738870279155833,5.820272616464564,5.677818364442217,5.79313850402832,10800000,0.0,0.0
